colony,origin,trait,mean_diff_RL,n_pairs,t_stat,t_pvalue,wilcox_stat,wilcox_pvalue,t_pvalue_bonf,t_pvalue_holm,t_pvalue_bh,wilcox_pvalue_bonf,wilcox_pvalue_holm,wilcox_pvalue_bh
RPR05,Ribeirão Preto,nerv02,-0.01836489881249999,80,-7.128903503548734,4.23189304863024e-10,384.0,5.142576653751613e-09,5.078271658356288e-08,2.7084115511233535e-08,8.909248523432084e-10,6.171091984501936e-07,3.445526358013581e-07,1.1427948119448028e-08
RPR06,Ribeirão Preto,nerv02,-0.02049291028749998,80,-7.998215520714527,8.788472369763947e-12,367.0,1.885804754478701e-09,1.0546166843716736e-09,6.59135427732296e-10,2.2926449660253775e-11,2.262965705374441e-07,1.3577794232246646e-07,4.590732948262819e-09
RPR07,Ribeirão Preto,nerv02,-0.025076853025,80,-9.437739680631237,1.3624096025781677e-14,238.0,3.4473997466512125e-11,1.6348915230938012e-12,1.185296354243006e-12,4.808504479687651e-14,4.136879695981455e-09,2.8613417897205063e-09,1.0886525515740672e-10
RPR08,Ribeirão Preto,nerv02,-0.1077009207875,80,-39.03711962095933,2.1132509690362794e-53,0.0,7.999532481409323e-15,2.5359011628435352e-51,2.5359011628435352e-51,2.5359011628435352e-51,9.599438977691188e-13,9.519443652877095e-13,2.399859744422797e-13
RPR09,Ribeirão Preto,nerv02,-0.019447102500000008,80,-8.203574296720086,3.4959301981094566e-12,273.0,1.0595516189933972e-10,4.195116237731348e-10,2.7268255545253763e-10,9.756084273793833e-12,1.2714619427920766e-08,8.476412951947178e-09,3.1011266897367724e-10
RPR10,Ribeirão Preto,nerv02,-0.030109807607594925,79,-11.39298640453649,2.8640684469313424e-18,100.0,4.815047060986623e-13,3.436882136317611e-16,2.8927091314006557e-16,1.7184410681588056e-17,5.7780564731839474e-11,4.815047060986623e-11,2.7514554634209278e-12
RPR11,Ribeirão Preto,nerv02,-0.034193630737499994,80,-11.296451647147403,3.63858969737237e-18,41.0,3.705350763842609e-14,4.3663076368468436e-16,3.602203800398646e-16,1.9846852894758383e-17,4.44642091661113e-12,4.149992855503722e-12,4.940467685123479e-13
RPR12,Ribeirão Preto,nerv02,-0.04466667215,60,-12.185051782969891,9.422319250574338e-18,27.0,6.428339473761674e-11,1.1306783100689206e-15,9.139649673057107e-16,4.5546878373221786e-17,7.71400736851401e-09,5.271238368484573e-09,1.9779506073112845e-10
COY01,Coyhaique,nerv03,-0.01864330992929293,99,-7.180059485975457,1.360398163608054e-10,754.0,1.912805395109508e-09,1.6324777963296647e-08,9.658826961617184e-09,3.2649555926593297e-10,2.2953664741314094e-07,1.3580918305277507e-07,4.590732948262819e-09
COY02,Coyhaique,nerv03,-0.023073475877551018,98,-7.828346376277391,6.2037864403949025e-12,613.0,2.2433088783228485e-10,7.444543728473883e-10,4.714877694700125e-10,1.654343050771974e-11,2.691970653987418e-08,1.749780925091822e-08,6.260396869738182e-10
