"colony","origin","trait","mean_diff_RL","n_pairs","t_stat","t_pvalue","wilcox_stat","wilcox_pvalue","t_pvalue_bonf","t_pvalue_holm","t_pvalue_bh","wilcox_pvalue_bonf","wilcox_pvalue_holm","wilcox_pvalue_bh"
"RPR07","Ribeirão Preto","nerv04",-0.0153869049,80,-6.88983254219944,1.21286522972985e-09,433,2.1064254086864e-08,1.45543827567582e-07,7.27719137837912e-08,2.38596438635381e-09,2.52771049042368e-06,1.26385524521184e-06,4.14378768921915e-08
"RPR08","Ribeirão Preto","nerv04",-0.0768156880625,80,-31.9539238565645,6.136907907624e-47,0,7.99953248140933e-15,7.3642894891488e-45,7.30292041007256e-45,3.6821447445744e-45,9.5994389776912e-13,9.5194436528771e-13,2.3998597444228e-13
"RPR09","Ribeirão Preto","nerv04",-0.0165638680125,80,-7.20816576265188,2.98045925045966e-10,418,8.27556321191056e-09,3.57655110055159e-08,1.99690769780797e-08,6.62324277879924e-10,9.93067585429267e-07,5.29636045562276e-07,1.74222383408643e-08
"RPR10","Ribeirão Preto","nerv04",-0.0196896005949367,79,-8.66715615711203,4.7770488879285e-13,267,1.41491081551949e-10,5.7324586655142e-11,3.91718008810137e-11,1.46986119628569e-12,1.69789297862339e-08,1.1177795442604e-08,4.0426023300557e-10
"RPR11","Ribeirão Preto","nerv04",-0.02898605875,80,-13.4393979776877,4.15248554704806e-22,52,5.55439243824725e-14,4.98298265645767e-20,4.60925895722334e-20,4.98298265645767e-21,6.66527092589671e-12,6.10983168207198e-12,6.05933720536064e-13
"RPR12","Ribeirão Preto","nerv04",-0.0425978368166667,60,-15.0330649198843,7.6864777432903e-22,6,2.26215904364619e-11,9.22377329194836e-20,8.37826074018642e-20,7.6864777432903e-21,2.71459085237543e-09,1.9002135966628e-09,7.33673203344712e-11
"COY01","Coyhaique","nerv05",0.00405630005050505,99,2.42341206046163,0.0172103553714185,3136.5,0.0210500788558048,1,0.413048528914045,0.0212911612842291,1,0.490876311712231,0.0257756067622099
"COY02","Coyhaique","nerv05",0.00491792539795918,98,2.85509854520218,0.0052618960039939,3149,0.00547221131513736,0.631427520479268,0.163118776123811,0.00701586133865854,0.656665357816484,0.169638550769258,0.00729628175351648
"COY03","Coyhaique","nerv05",0.00393445501010102,99,2.10672308160859,0.0376955483847295,2902,0.0588820635951198,1,0.79160651607932,0.0452346580616754,1,1,0.0679408426097537
"COY04","Coyhaique","nerv05",0.00356063376923077,78,1.77393680946213,0.0800269960372244,1796,0.0851656162634163,1,1,0.0897499020978217,1,1,0.0937603114826601
"COY05","Coyhaique","nerv05",0.00569805568041237,97,3.23356159852869,0.00167663518847807,3224,0.00106625261744264,0.201196222617368,0.0620355019736885,0.00239519312639724,0.127950314093117,0.0426501046977056,0.00157963350732243
"COY06","Coyhaique","nerv05",0.00743513960937499,64,3.4730503005259,0.000935821170918321,1428,0.00156692811490957,0.112298540510198,0.0355612044948962,0.00135299446397829,0.188031373789149,0.0611101964814733,0.00229306553401401
"COY07","Coyhaique","nerv05",0.00284609767948717,78,1.53899817577696,0.127904304816703,1869,0.10232463825603,1,1,0.137040326589324,1,1,0.110621230547059
"COY08","Coyhaique","nerv05",0.00399786387,100,2.51202593267669,0.0136205993621762,3080,0.0565787391777634,1,0.340514984054406,0.0170257492027203,1,1,0.0659169776828311
"COY09","Coyhaique","nerv05",0.00662763702020202,99,3.69088640560673,0.000367395076884377,3390,0.000635463297359616,0.0440874092261252,0.0164123665965556,0.000572563756183444,0.0762555956831539,0.0268766985389434,0.000965260704850049
"COY10","Coyhaique","nerv05",0.00518585623958334,96,2.75815380127427,0.00697267513621852,3008,0.0130242984667257,0.836721016346222,0.202207578950337,0.0090947936559372,1,0.364680357068318,0.0168055464086783
"COY11","Coyhaique","nerv05",0.00181633416000001,100,1.10639649539018,0.271236193655774,2872,0.233504614076892,1,1,0.285511782795551,1,1,0.243656988601974
"COY12","Coyhaique","nerv05",0.00634348973000001,100,3.59603548448501,0.000506025142009612,3491,0.000393523764386405,0.0607230170411535,0.0208015869803311,0.000759037713014418,0.0472228517263686,0.0177085693973882,0.000621353312189061
"RPR01","Ribeirão Preto","nerv05",-0.00965297297297299,74,-4.65490441704045,1.41610145490043e-05,646,6.55344530998199e-05,0.00169932174588051,0.000736372756548222,2.46278513895726e-05,0.00786413437197839,0.00321118820189118,0.0001092240884997
"RPR02","Ribeirão Preto","nerv05",0.00354422071794872,78,2.04077974250732,0.0447001521427994,1929,0.053293887673439,1,0.805260234635502,0.0520778471566595,1,1,0.0626986913805165
"RPR03","Ribeirão Preto","nerv05",-0.0011769515,80,-0.592882197798411,0.554953438753346,1366,0.224038713803851,1,1,0.569183014105996,1,1,0.235830225056686
"RPR04","Ribeirão Preto","nerv05",0.00472463518987342,79,3.01030603218144,0.0035149917039613,2182,0.00328665545705987,0.421799004475356,0.115994726230723,0.00479317050540177,0.394398654847184,0.108459630082976,0.00448180289599073
"RPR05","Ribeirão Preto","nerv05",0.000469175099999999,80,0.288522012058667,0.77370286552063,1818,0.343502884411395,1,1,0.77370286552063,1,1,0.352310650678353
"RPR06","Ribeirão Preto","nerv05",0.0051579433,80,3.4541011702979,0.000890631081961825,2200,0.00246553419642164,0.106875729835419,0.0347346121965112,0.00130336255896852,0.295864103570596,0.0887592310711789,0.00348075415965407
